layer,series_name,proposer_type,repeat_idx,budget,selected_model_at_k,rolling_score_at_k,post_selection_test_mae,top_epsilon_hit,budget_to_top_epsilon,valid_proposal_rate,duplicate_rate,out_of_allowlist_rejection_rate,claim_safety_violation_rate,family_diversity,observation_label_diversity,api_status,evidence_mode,selection_metric_source,test_metric_usage
frozen_replay_repeated,>= 65 yr,random_candidate_proposer,3,3,arima_auto_small,0.2118518518518518,0.3272727272727272,False,3,1.0,0.0,0.0,0.0,2,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,>= 65 yr,random_candidate_proposer,3,5,arima_auto_small,0.2118518518518518,0.3272727272727272,False,3,1.0,0.0,0.0,0.0,4,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,>= 65 yr,random_candidate_proposer,3,10,exhaustive_structure_discovery,0.1690159117505848,0.1218893284577907,True,3,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,>= 65 yr,random_candidate_proposer,4,3,random_structure_discovery,0.1965252983704047,0.1518453927047748,False,10,1.0,0.0,0.0,0.0,2,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,>= 65 yr,random_candidate_proposer,4,5,random_structure_discovery,0.1965252983704047,0.1518453927047748,False,10,1.0,0.0,0.0,0.0,3,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,>= 65 yr,random_candidate_proposer,4,10,exhaustive_structure_discovery,0.1690159117505848,0.1218893284577907,True,10,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,>= 65 yr,failure_guided_proposer,0,3,arima_auto_small,0.2118518518518518,0.3272727272727272,False,5,1.0,0.0,0.0,0.0,2,1,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,>= 65 yr,failure_guided_proposer,0,5,arima_auto_small,0.2118518518518518,0.3272727272727272,False,5,1.0,0.0,0.0,0.0,3,2,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,>= 65 yr,failure_guided_proposer,0,10,exhaustive_structure_discovery,0.1690159117505848,0.1218893284577907,True,5,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,>= 65 yr,oracle_full_candidate_ranking,0,3,exhaustive_structure_discovery,0.1690159117505848,0.1218893284577907,True,3,1.0,0.0,0.0,0.0,2,1,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,>= 65 yr,oracle_full_candidate_ranking,0,5,exhaustive_structure_discovery,0.1690159117505848,0.1218893284577907,True,3,1.0,0.0,0.0,0.0,3,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
frozen_replay_repeated,>= 65 yr,oracle_full_candidate_ranking,0,10,exhaustive_structure_discovery,0.1690159117505848,0.1218893284577907,True,3,1.0,0.0,0.0,0.0,4,3,,frozen_replay,rolling_mean_mae,posthoc_descriptive_only
